policy,lambda,seed,ADT_min,GDT_violation_rate,delivered,received,OFR,batch_avg_batch_size,batch_pct_batched,batch_routes_assigned,group_dp_gap,group_cv_means,groups_count,avg_rider_utilization,min_rider_utilization,max_rider_utilization,std_rider_utilization,total_idle_time_s,gini_coefficient_earnings,gini_slow_riders,gini_fast_riders,churn_threshold,pct_riders_at_risk,projected_ofr_loss,projected_ofr,total_travel_time_min,pof
two_stage,0.0,0,21.19802580358136,0.8218218218218218,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,7.790000000000001,0.8694508638370309,30,0.22881574074074076,0.0,1.2640740740740741,0.2605660054417545,2509129.0,0.5883733777038269,0.6026072874493927,0.5636881355932203,0.0,0.0,0.0,1.0,20601.993097917053,0.0
NR,0.0,0,22.67323990657324,0.9325992659325992,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,8.99,0.9251552655715267,30,0.24723555555555554,0.0,1.2141666666666666,0.24414907160131902,2477802.0,0.5716159733777039,0.5724252303330971,0.5687829360100376,0.0,0.0,0.0,1.0,22259.682830558268,
RR,0.0,0,45.08401178956734,0.9612946279612946,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,2.5814285714285714,0.1787535308653936,30,0.5007418518518518,0.0,1.4494444444444445,0.25309531168266947,583126.0,0.2515281198003328,0.254230876216968,0.24672622846202935,3.0,0.034,0.00051,0.99949,45075.35036876137,
WP,0.0,0,44.85494383272161,0.9582916249582917,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,1.5599999999999996,0.12782322507063262,30,0.49815537037037033,0.02435185185185185,1.7974074074074073,0.2548371823448311,517197.0,0.18363993344425958,0.19331687242798354,0.1725481577246283,6.0,0.244,0.00366,0.99634,44842.53217242045,
two_stage,0.0,1,21.19802580358136,0.8218218218218218,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,7.767777777777779,0.8969051669089511,30,0.22881574074074076,0.0,1.2640740740740741,0.2605660054417545,2509129.0,0.5883733777038269,0.6026072874493927,0.5636881355932203,0.0,0.0,0.0,1.0,20601.993097917053,0.0
NR,0.0,1,22.67323990657324,0.9325992659325992,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,7.1899999999999995,0.9874685518833294,30,0.24723555555555554,0.0,1.2141666666666666,0.24414907160131902,2477802.0,0.5716159733777039,0.5724252303330971,0.5687829360100376,0.0,0.0,0.0,1.0,22259.682830558268,
RR,0.0,1,45.08401178956734,0.9612946279612946,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,2.2957142857142854,0.1768758776240051,30,0.5007418518518518,0.0,1.4494444444444445,0.25309531168266947,583126.0,0.2515281198003328,0.254230876216968,0.24672622846202935,3.0,0.034,0.00051,0.99949,45075.35036876137,
WP,0.0,1,44.53064175286398,0.9602936269602936,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,2.99,0.16792029835688568,30,0.49562870370370377,0.05435185185185185,1.6307407407407408,0.2398058122487983,484662.0,0.1864792013311148,0.18347676912080058,0.18205230386052304,5.0,0.232,0.0034800000000000005,0.99652,44615.02429843877,
two_stage,0.0,2,21.19802580358136,0.8218218218218218,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,7.5284615384615385,0.8707049898658384,30,0.22881574074074076,0.0,1.2640740740740741,0.2605660054417545,2509129.0,0.5883733777038269,0.6026072874493927,0.5636881355932203,0.0,0.0,0.0,1.0,20601.993097917053,0.0
NR,0.0,2,22.67323990657324,0.9325992659325992,2997,2997,1.0,2.9431929480901076,0.9843290891283056,1021,8.99,0.9733161141831845,30,0.24723555555555554,0.0,1.2141666666666666,0.24414907160131902,2477802.0,0.5716159733777039,0.5724252303330971,0.5687829360100376,0.0,0.0,0.0,1.0,22259.682830558268,
